years_experience,skills_match_score,education_level,project_count,resume_length,github_activity,shortlisted,Candidate Score,Candidate Rank,Fit Level,Prediction
5,73.1,0,12,477,380,Shortlisted,99.0,3.0,High Fit,Shortlisted
5,75.8,2,6,541,193,Shortlisted,83.0,35.0,High Fit,Shortlisted
9,51.7,0,12,564,328,Shortlisted,94.0,13.0,High Fit,Shortlisted
1,54.5,2,7,607,192,Rejected,0.5,200.0,Low Fit,Rejected
14,100.0,0,13,896,546,Shortlisted,100.0,1.0,High Fit,Shortlisted
0,33.6,0,5,342,49,Rejected,0.0,201.0,,Rejected
13,76.9,0,13,819,360,Shortlisted,98.5,4.0,High Fit,Shortlisted
9,76.8,2,12,555,376,Shortlisted,100.0,1.0,High Fit,Shortlisted
2,65.3,2,4,483,128,Shortlisted,6.5,188.0,Low Fit,Rejected
9,69.3,0,7,486,281,Shortlisted,99.5,2.0,High Fit,Shortlisted
13,84.7,0,22,640,622,Shortlisted,100.0,1.0,High Fit,Shortlisted
4,72.5,3,11,306,181,Shortlisted,72.0,57.0,Medium Fit,Shortlisted
15,100.0,2,17,895,559,Shortlisted,100.0,1.0,High Fit,Shortlisted
5,83.9,2,11,409,302,Shortlisted,98.0,5.0,High Fit,Shortlisted
2,71.8,2,7,445,117,Rejected,21.5,158.0,Low Fit,Rejected
8,77.1,0,10,342,318,Shortlisted,98.0,5.0,High Fit,Shortlisted
10,54.0,0,7,695,349,Shortlisted,91.0,19.0,High Fit,Shortlisted
4,67.2,0,10,363,281,Shortlisted,85.5,30.0,High Fit,Shortlisted
12,98.2,0,9,793,361,Shortlisted,100.0,1.0,High Fit,Shortlisted
1,39.1,2,7,384,41,Rejected,2.0,197.0,Low Fit,Rejected
9,55.7,0,11,679,247,Shortlisted,99.0,3.0,High Fit,Shortlisted
5,89.9,0,15,447,367,Shortlisted,100.0,1.0,High Fit,Shortlisted
11,57.0,0,10,670,461,Shortlisted,98.0,5.0,High Fit,Shortlisted
7,70.0,0,11,491,323,Shortlisted,98.0,5.0,High Fit,Shortlisted
10,73.0,2,11,621,335,Shortlisted,100.0,1.0,High Fit,Shortlisted
5,89.0,0,9,325,225,Shortlisted,96.5,8.0,High Fit,Shortlisted
3,68.0,0,9,346,286,Rejected,20.0,161.0,Low Fit,Rejected
5,83.1,2,15,479,458,Shortlisted,99.5,2.0,High Fit,Shortlisted
7,72.3,0,10,600,371,Shortlisted,91.0,19.0,High Fit,Shortlisted
7,96.9,1,16,651,437,Shortlisted,98.0,5.0,High Fit,Shortlisted
12,74.1,2,11,779,329,Shortlisted,100.0,1.0,High Fit,Shortlisted
9,76.2,1,10,602,389,Shortlisted,99.5,2.0,High Fit,Shortlisted
1,82.1,2,5,330,109,Rejected,14.5,172.0,Low Fit,Rejected
7,97.5,2,17,510,400,Shortlisted,100.0,1.0,High Fit,Shortlisted
5,63.5,0,8,449,175,Shortlisted,73.5,54.0,Medium Fit,Shortlisted
15,57.1,0,13,781,445,Shortlisted,99.5,2.0,High Fit,Shortlisted
1,61.2,3,8,319,138,Rejected,5.0,191.0,Low Fit,Rejected
0,83.7,0,7,366,192,Rejected,12.5,176.0,Low Fit,Rejected
5,63.6,3,7,398,141,Shortlisted,68.0,65.0,Medium Fit,Shortlisted
12,85.9,0,8,590,338,Shortlisted,100.0,1.0,High Fit,Shortlisted
6,68.6,2,7,269,183,Shortlisted,88.0,25.0,High Fit,Shortlisted
13,86.2,2,17,766,420,Shortlisted,100.0,1.0,High Fit,Shortlisted
13,100.0,2,10,662,358,Shortlisted,99.5,2.0,High Fit,Shortlisted
9,74.8,1,14,561,342,Shortlisted,99.0,3.0,High Fit,Shortlisted
4,96.1,0,7,572,198,Rejected,29.5,142.0,Low Fit,Rejected
13,98.1,0,16,686,521,Shortlisted,100.0,1.0,High Fit,Shortlisted
9,85.0,3,11,418,231,Shortlisted,99.5,2.0,High Fit,Shortlisted
7,70.1,0,9,481,316,Shortlisted,97.0,7.0,High Fit,Shortlisted
10,90.0,3,15,448,534,Shortlisted,100.0,1.0,High Fit,Shortlisted
12,63.0,0,13,579,341,Shortlisted,99.5,2.0,High Fit,Shortlisted
11,63.6,0,17,412,473,Shortlisted,99.5,2.0,High Fit,Shortlisted
8,84.9,0,7,900,242,Rejected,15.5,170.0,Low Fit,Rejected
3,81.0,2,10,516,208,Shortlisted,90.0,21.0,High Fit,Shortlisted
6,53.4,2,6,547,319,Shortlisted,61.0,79.0,Medium Fit,Shortlisted
7,84.4,0,7,793,268,Shortlisted,88.5,24.0,High Fit,Shortlisted
12,86.4,3,21,842,579,Shortlisted,100.0,1.0,High Fit,Shortlisted
5,55.0,0,7,712,262,Rejected,18.0,165.0,Low Fit,Rejected
1,58.5,2,11,413,281,Shortlisted,82.0,37.0,High Fit,Shortlisted
6,86.6,2,11,573,322,Shortlisted,99.5,2.0,High Fit,Shortlisted
12,90.6,0,20,750,679,Shortlisted,100.0,1.0,High Fit,Shortlisted
8,73.5,1,12,518,306,Shortlisted,97.5,6.0,High Fit,Shortlisted
4,71.2,0,11,423,258,Rejected,22.5,156.0,Low Fit,Rejected
14,63.9,1,16,900,526,Shortlisted,99.0,3.0,High Fit,Shortlisted
1,75.2,3,9,293,249,Shortlisted,82.5,36.0,High Fit,Shortlisted
3,64.1,3,10,729,244,Rejected,21.0,159.0,Low Fit,Rejected
2,95.6,2,10,695,149,Shortlisted,88.5,24.0,High Fit,Shortlisted
3,61.5,2,5,413,103,Rejected,10.5,180.0,Low Fit,Rejected
9,100.0,0,10,730,394,Shortlisted,100.0,1.0,High Fit,Shortlisted
6,62.6,1,5,658,248,Shortlisted,72.0,57.0,Medium Fit,Shortlisted
9,77.8,2,10,773,263,Shortlisted,99.0,3.0,High Fit,Shortlisted
7,70.8,2,14,443,363,Shortlisted,99.5,2.0,High Fit,Shortlisted
0,42.4,2,4,275,45,Rejected,0.0,201.0,,Rejected
12,100.0,2,16,749,533,Shortlisted,100.0,1.0,High Fit,Shortlisted
7,73.0,0,5,550,179,Shortlisted,50.0,101.0,Low Fit,Rejected
4,74.9,0,8,497,216,Shortlisted,74.5,52.0,Medium Fit,Shortlisted
11,100.0,2,11,678,428,Shortlisted,100.0,1.0,High Fit,Shortlisted
6,67.5,0,7,611,236,Rejected,21.5,158.0,Low Fit,Rejected
10,79.9,2,21,565,512,Shortlisted,100.0,1.0,High Fit,Shortlisted
10,79.7,0,12,625,302,Shortlisted,100.0,1.0,High Fit,Shortlisted
0,38.3,0,3,156,106,Rejected,0.0,201.0,,Rejected
1,32.1,0,7,486,190,Rejected,0.5,200.0,Low Fit,Rejected
0,38.7,2,4,262,21,Rejected,0.0,201.0,,Rejected
4,87.9,2,12,454,252,Shortlisted,99.5,2.0,High Fit,Shortlisted
13,78.6,0,9,760,463,Shortlisted,100.0,1.0,High Fit,Shortlisted
13,95.3,0,12,529,399,Shortlisted,100.0,1.0,High Fit,Shortlisted
5,63.6,0,10,628,325,Shortlisted,82.5,36.0,High Fit,Shortlisted
9,51.8,0,13,791,346,Rejected,32.0,137.0,Low Fit,Rejected
8,86.5,0,9,498,213,Shortlisted,96.5,8.0,High Fit,Shortlisted
7,58.2,0,13,545,364,Shortlisted,99.0,3.0,High Fit,Shortlisted
6,78.2,0,12,740,237,Shortlisted,94.0,13.0,High Fit,Shortlisted
11,93.4,0,15,720,454,Shortlisted,100.0,1.0,High Fit,Shortlisted
4,64.8,0,4,431,146,Rejected,9.0,183.0,Low Fit,Rejected
13,90.6,0,9,679,335,Shortlisted,100.0,1.0,High Fit,Shortlisted
14,64.2,0,19,551,579,Shortlisted,100.0,1.0,High Fit,Shortlisted
2,100.0,0,6,480,201,Rejected,58.5,84.0,Low Fit,Shortlisted
15,100.0,3,11,900,489,Shortlisted,100.0,1.0,High Fit,Shortlisted
8,80.7,1,6,687,203,Shortlisted,84.0,33.0,High Fit,Shortlisted
12,99.3,2,18,774,435,Shortlisted,100.0,1.0,High Fit,Shortlisted
4,63.4,0,8,354,251,Rejected,3.5,194.0,Low Fit,Rejected
2,66.4,2,8,298,208,Rejected,10.5,180.0,Low Fit,Rejected
15,100.0,3,20,900,743,Shortlisted,100.0,1.0,High Fit,Shortlisted
2,56.0,0,3,441,8,Rejected,0.0,201.0,,Rejected
2,71.1,2,10,423,252,Rejected,49.0,103.0,Low Fit,Rejected
13,90.5,0,17,668,447,Shortlisted,100.0,1.0,High Fit,Shortlisted
15,76.5,0,21,687,696,Shortlisted,100.0,1.0,High Fit,Shortlisted
5,74.2,0,4,416,147,Rejected,9.0,183.0,Low Fit,Rejected
0,32.1,0,6,325,128,Rejected,0.0,201.0,,Rejected
10,91.3,0,4,720,331,Shortlisted,96.5,8.0,High Fit,Shortlisted
3,87.0,0,8,508,189,Shortlisted,81.0,39.0,High Fit,Shortlisted
12,95.1,0,7,735,294,Shortlisted,100.0,1.0,High Fit,Shortlisted
7,97.7,2,13,399,346,Shortlisted,100.0,1.0,High Fit,Shortlisted
2,50.1,0,11,206,278,Rejected,2.5,196.0,Low Fit,Rejected
15,79.6,1,17,702,538,Shortlisted,100.0,1.0,High Fit,Shortlisted
4,67.4,0,5,567,123,Rejected,7.5,186.0,Low Fit,Rejected
1,61.4,0,2,262,43,Rejected,0.0,201.0,,Rejected
14,74.4,1,12,789,485,Shortlisted,100.0,1.0,High Fit,Shortlisted
1,45.8,0,8,383,151,Rejected,1.0,199.0,Low Fit,Rejected
10,100.0,0,21,651,578,Shortlisted,100.0,1.0,High Fit,Shortlisted
12,69.0,0,10,739,412,Shortlisted,100.0,1.0,High Fit,Shortlisted
6,98.1,2,10,373,310,Shortlisted,98.5,4.0,High Fit,Shortlisted
9,82.9,0,15,719,439,Shortlisted,100.0,1.0,High Fit,Shortlisted
2,60.0,1,6,280,129,Rejected,0.0,201.0,,Rejected
4,73.6,0,6,347,210,Shortlisted,70.0,61.0,Medium Fit,Shortlisted
2,91.9,3,6,157,192,Shortlisted,67.0,67.0,Medium Fit,Shortlisted
5,31.9,2,8,717,168,Rejected,12.5,176.0,Low Fit,Rejected
12,86.9,0,13,733,487,Shortlisted,100.0,1.0,High Fit,Shortlisted
9,73.2,1,13,562,374,Shortlisted,100.0,1.0,High Fit,Shortlisted
2,64.3,0,7,264,68,Shortlisted,58.0,85.0,Low Fit,Shortlisted
7,85.6,0,14,386,327,Shortlisted,99.5,2.0,High Fit,Shortlisted
1,54.1,2,8,503,155,Rejected,5.0,191.0,Low Fit,Rejected
2,48.0,2,7,388,266,Rejected,6.5,188.0,Low Fit,Rejected
7,50.7,0,7,485,201,Shortlisted,22.0,157.0,Low Fit,Rejected
7,53.4,1,8,309,197,Shortlisted,70.5,60.0,Medium Fit,Shortlisted
0,71.6,2,9,399,208,Rejected,29.0,143.0,Low Fit,Rejected
7,82.8,2,7,440,329,Shortlisted,98.0,5.0,High Fit,Shortlisted
9,92.5,2,20,689,625,Shortlisted,100.0,1.0,High Fit,Shortlisted
1,52.6,0,4,212,81,Rejected,0.0,201.0,,Rejected
11,77.0,2,14,568,367,Shortlisted,100.0,1.0,High Fit,Shortlisted
6,94.3,0,11,636,264,Shortlisted,98.0,5.0,High Fit,Shortlisted
5,82.8,0,11,505,266,Shortlisted,96.5,8.0,High Fit,Shortlisted
1,74.5,2,10,335,159,Rejected,15.5,170.0,Low Fit,Rejected
4,41.9,2,7,326,223,Rejected,5.5,190.0,Low Fit,Rejected
6,98.9,0,14,370,525,Shortlisted,99.5,2.0,High Fit,Shortlisted
7,73.9,2,10,562,210,Shortlisted,97.0,7.0,High Fit,Shortlisted
2,67.8,2,9,272,223,Shortlisted,80.5,40.0,High Fit,Shortlisted
0,64.2,0,10,468,153,Rejected,3.5,194.0,Low Fit,Rejected
12,87.7,2,20,900,479,Shortlisted,100.0,1.0,High Fit,Shortlisted
6,66.9,0,13,481,433,Shortlisted,88.0,25.0,High Fit,Shortlisted
12,87.4,2,15,849,464,Shortlisted,100.0,1.0,High Fit,Shortlisted
4,75.0,0,3,468,97,Rejected,6.0,189.0,Low Fit,Rejected
4,78.2,0,10,277,391,Shortlisted,81.0,39.0,High Fit,Shortlisted
6,91.5,2,10,567,251,Shortlisted,98.5,4.0,High Fit,Shortlisted
0,41.0,0,4,272,136,Rejected,1.5,198.0,Low Fit,Rejected
7,58.8,1,3,690,149,Rejected,12.5,176.0,Low Fit,Rejected
11,96.0,2,11,660,382,Shortlisted,100.0,1.0,High Fit,Shortlisted
13,63.7,2,17,742,521,Shortlisted,100.0,1.0,High Fit,Shortlisted
15,89.9,0,15,763,588,Shortlisted,100.0,1.0,High Fit,Shortlisted
9,63.7,0,10,580,404,Shortlisted,97.5,6.0,High Fit,Shortlisted
14,97.5,2,6,872,413,Shortlisted,98.5,4.0,High Fit,Shortlisted
4,48.3,1,14,614,430,Rejected,28.5,144.0,Low Fit,Rejected
7,66.1,0,7,578,377,Shortlisted,59.5,82.0,Low Fit,Shortlisted
9,66.6,1,6,636,225,Rejected,15.5,170.0,Low Fit,Rejected
14,92.9,2,19,761,592,Shortlisted,100.0,1.0,High Fit,Shortlisted
9,85.4,1,8,618,318,Shortlisted,99.0,3.0,High Fit,Shortlisted
4,84.7,2,6,447,245,Rejected,28.5,144.0,Low Fit,Rejected
11,86.3,2,14,501,354,Shortlisted,100.0,1.0,High Fit,Shortlisted
6,52.9,0,7,532,220,Shortlisted,79.0,43.0,Medium Fit,Shortlisted
9,100.0,0,13,738,346,Shortlisted,99.5,2.0,High Fit,Shortlisted
2,60.2,0,7,565,207,Rejected,5.0,191.0,Low Fit,Rejected
1,63.6,0,6,446,94,Rejected,0.0,201.0,,Rejected
5,71.1,0,9,643,308,Rejected,16.0,169.0,Low Fit,Rejected
4,74.6,2,11,562,239,Shortlisted,81.0,39.0,High Fit,Shortlisted
8,56.3,1,9,641,308,Shortlisted,86.0,29.0,High Fit,Shortlisted
9,85.8,2,8,697,229,Shortlisted,99.5,2.0,High Fit,Shortlisted
3,94.6,2,12,234,228,Rejected,69.5,62.0,Medium Fit,Shortlisted
10,47.4,0,12,610,383,Shortlisted,98.5,4.0,High Fit,Shortlisted
2,62.0,0,6,297,253,Rejected,5.0,191.0,Low Fit,Rejected
8,60.4,2,11,574,411,Shortlisted,99.0,3.0,High Fit,Shortlisted
7,90.1,2,7,469,312,Shortlisted,98.5,4.0,High Fit,Shortlisted
5,92.1,3,16,546,396,Shortlisted,100.0,1.0,High Fit,Shortlisted
0,55.6,0,4,328,66,Rejected,0.0,201.0,,Rejected
13,91.9,3,24,671,740,Shortlisted,100.0,1.0,High Fit,Shortlisted
9,57.8,1,7,585,325,Shortlisted,88.5,24.0,High Fit,Shortlisted
12,46.1,0,14,692,468,Shortlisted,100.0,1.0,High Fit,Shortlisted
11,75.4,0,16,641,488,Shortlisted,100.0,1.0,High Fit,Shortlisted
10,74.3,0,13,681,520,Shortlisted,100.0,1.0,High Fit,Shortlisted
0,61.9,2,9,469,136,Rejected,6.5,188.0,Low Fit,Rejected
11,30.3,0,15,570,502,Shortlisted,91.0,19.0,High Fit,Shortlisted
5,45.4,2,10,497,319,Shortlisted,76.0,49.0,Medium Fit,Shortlisted
12,63.0,2,17,844,544,Shortlisted,100.0,1.0,High Fit,Shortlisted
2,70.2,3,10,580,180,Shortlisted,82.0,37.0,High Fit,Shortlisted
2,65.8,1,6,565,186,Rejected,0.0,201.0,,Rejected
5,53.8,2,10,453,274,Shortlisted,92.0,17.0,High Fit,Shortlisted
12,77.4,0,13,764,448,Shortlisted,100.0,1.0,High Fit,Shortlisted
2,52.8,0,12,382,343,Rejected,14.0,173.0,Low Fit,Rejected
12,100.0,2,12,626,437,Shortlisted,100.0,1.0,High Fit,Shortlisted
10,71.7,0,11,686,353,Shortlisted,99.5,2.0,High Fit,Shortlisted
9,69.1,0,8,539,364,Shortlisted,100.0,1.0,High Fit,Shortlisted
5,59.0,2,9,697,287,Shortlisted,88.0,25.0,High Fit,Shortlisted
4,37.0,0,7,568,92,Rejected,1.5,198.0,Low Fit,Rejected
3,73.2,0,6,347,204,Rejected,9.5,182.0,Low Fit,Rejected
7,67.5,0,1,697,75,Rejected,16.5,168.0,Low Fit,Rejected
1,53.7,0,3,389,26,Rejected,0.0,201.0,,Rejected
14,92.0,2,10,900,347,Shortlisted,100.0,1.0,High Fit,Shortlisted
11,51.3,1,15,678,530,Shortlisted,99.5,2.0,High Fit,Shortlisted
13,100.0,2,14,840,492,Shortlisted,100.0,1.0,High Fit,Shortlisted
10,53.9,2,11,525,454,Shortlisted,99.5,2.0,High Fit,Shortlisted
6,99.9,2,5,558,134,Shortlisted,96.0,9.0,High Fit,Shortlisted
3,67.0,2,10,357,263,Shortlisted,50.0,101.0,Low Fit,Rejected
1,53.7,0,4,241,92,Rejected,0.0,201.0,,Rejected
14,95.6,0,10,773,507,Shortlisted,100.0,1.0,High Fit,Shortlisted
6,64.3,0,4,623,112,Rejected,14.0,173.0,Low Fit,Rejected
12,95.5,0,13,740,473,Shortlisted,100.0,1.0,High Fit,Shortlisted
0,57.6,1,3,210,52,Rejected,0.5,200.0,Low Fit,Rejected
3,77.9,2,12,430,327,Shortlisted,100.0,1.0,High Fit,Shortlisted
8,92.9,2,10,726,300,Shortlisted,100.0,1.0,High Fit,Shortlisted
13,80.9,0,12,738,408,Shortlisted,100.0,1.0,High Fit,Shortlisted
3,78.0,0,6,403,124,Rejected,9.0,183.0,Low Fit,Rejected
11,87.3,0,9,900,315,Shortlisted,97.0,7.0,High Fit,Shortlisted
12,100.0,2,11,843,387,Shortlisted,100.0,1.0,High Fit,Shortlisted
2,59.7,2,6,405,94,Rejected,2.0,197.0,Low Fit,Rejected
9,96.0,0,10,455,310,Shortlisted,100.0,1.0,High Fit,Shortlisted
9,67.7,2,17,601,415,Shortlisted,100.0,1.0,High Fit,Shortlisted
1,29.4,0,6,338,187,Rejected,0.0,201.0,,Rejected
15,67.0,0,11,819,400,Shortlisted,98.0,5.0,High Fit,Shortlisted
13,74.0,1,15,661,499,Shortlisted,100.0,1.0,High Fit,Shortlisted
14,93.2,2,18,766,661,Shortlisted,100.0,1.0,High Fit,Shortlisted
2,61.7,0,4,638,121,Rejected,0.5,200.0,Low Fit,Rejected
0,64.8,1,5,546,79,Rejected,1.5,198.0,Low Fit,Rejected
9,57.5,0,13,575,444,Shortlisted,98.5,4.0,High Fit,Shortlisted
7,97.4,0,11,651,189,Shortlisted,95.5,10.0,High Fit,Shortlisted
0,81.4,2,6,358,132,Rejected,22.0,157.0,Low Fit,Rejected
2,75.5,0,6,202,80,Rejected,2.5,196.0,Low Fit,Rejected
13,100.0,2,14,675,332,Shortlisted,100.0,1.0,High Fit,Shortlisted
2,38.2,0,10,488,259,Rejected,7.5,186.0,Low Fit,Rejected
12,92.0,0,12,494,520,Shortlisted,100.0,1.0,High Fit,Shortlisted
14,96.6,0,20,900,670,Shortlisted,100.0,1.0,High Fit,Shortlisted
1,74.0,0,6,556,56,Rejected,3.0,195.0,Low Fit,Rejected
13,91.7,1,14,646,447,Shortlisted,100.0,1.0,High Fit,Shortlisted
4,72.2,0,6,329,221,Rejected,44.0,113.0,Low Fit,Rejected
9,85.3,2,13,617,376,Shortlisted,100.0,1.0,High Fit,Shortlisted
2,83.1,2,7,169,229,Rejected,9.0,183.0,Low Fit,Rejected
2,55.9,2,12,464,361,Shortlisted,84.0,33.0,High Fit,Shortlisted
7,77.0,0,13,480,503,Shortlisted,97.5,6.0,High Fit,Shortlisted
3,55.2,0,8,371,154,Shortlisted,71.5,58.0,Medium Fit,Shortlisted
3,61.2,0,5,382,64,Rejected,1.0,199.0,Low Fit,Rejected
2,25.2,2,11,338,314,Rejected,9.5,182.0,Low Fit,Rejected
10,71.9,3,18,470,440,Shortlisted,99.5,2.0,High Fit,Shortlisted
0,54.7,2,8,150,186,Rejected,3.5,194.0,Low Fit,Rejected
7,60.7,1,11,667,358,Rejected,84.0,33.0,High Fit,Shortlisted
14,80.5,0,11,743,332,Shortlisted,100.0,1.0,High Fit,Shortlisted
0,35.2,1,2,413,100,Rejected,0.0,201.0,,Rejected
6,60.0,1,10,593,326,Rejected,17.0,167.0,Low Fit,Rejected
4,77.3,1,5,398,60,Rejected,5.5,190.0,Low Fit,Rejected
3,59.0,0,9,276,163,Rejected,6.0,189.0,Low Fit,Rejected
3,83.0,0,6,533,275,Rejected,45.0,111.0,Low Fit,Rejected
7,90.0,0,13,447,368,Shortlisted,100.0,1.0,High Fit,Shortlisted
10,68.7,0,12,663,473,Shortlisted,98.5,4.0,High Fit,Shortlisted
10,89.8,2,10,776,344,Shortlisted,100.0,1.0,High Fit,Shortlisted
12,61.8,0,22,597,650,Shortlisted,100.0,1.0,High Fit,Shortlisted
13,67.7,0,9,900,322,Shortlisted,93.5,14.0,High Fit,Shortlisted
5,72.9,2,8,595,186,Shortlisted,83.0,35.0,High Fit,Shortlisted
15,98.9,2,16,738,474,Shortlisted,100.0,1.0,High Fit,Shortlisted
13,100.0,0,13,580,483,Shortlisted,100.0,1.0,High Fit,Shortlisted
11,80.8,2,12,640,435,Shortlisted,100.0,1.0,High Fit,Shortlisted
0,60.1,0,6,236,128,Rejected,0.0,201.0,,Rejected
13,85.0,0,12,710,488,Shortlisted,100.0,1.0,High Fit,Shortlisted
9,100.0,0,16,604,524,Shortlisted,100.0,1.0,High Fit,Shortlisted
7,91.6,0,9,394,343,Shortlisted,99.0,3.0,High Fit,Shortlisted
12,91.0,2,16,900,476,Shortlisted,100.0,1.0,High Fit,Shortlisted
13,95.4,0,14,578,540,Shortlisted,100.0,1.0,High Fit,Shortlisted
1,64.7,0,6,150,181,Rejected,1.5,198.0,Low Fit,Rejected
5,91.1,3,19,407,401,Shortlisted,100.0,1.0,High Fit,Shortlisted
8,86.4,0,12,526,292,Shortlisted,100.0,1.0,High Fit,Shortlisted
0,56.7,2,5,235,145,Rejected,0.5,200.0,Low Fit,Rejected
5,69.0,0,9,255,251,Shortlisted,83.0,35.0,High Fit,Shortlisted
15,89.9,0,16,787,639,Shortlisted,100.0,1.0,High Fit,Shortlisted
7,73.8,0,12,604,342,Shortlisted,100.0,1.0,High Fit,Shortlisted
9,71.6,2,10,765,312,Shortlisted,96.5,8.0,High Fit,Shortlisted
12,90.3,2,15,900,567,Shortlisted,100.0,1.0,High Fit,Shortlisted
1,47.4,1,6,321,56,Rejected,0.0,201.0,,Rejected
4,52.2,1,6,339,234,Rejected,1.0,199.0,Low Fit,Rejected
5,73.2,3,16,533,405,Shortlisted,100.0,1.0,High Fit,Shortlisted
4,73.3,2,8,574,135,Shortlisted,85.0,31.0,High Fit,Shortlisted
2,79.9,0,7,260,137,Rejected,3.5,194.0,Low Fit,Rejected
3,74.2,0,7,582,135,Shortlisted,75.0,51.0,Medium Fit,Shortlisted
6,89.9,2,10,697,316,Shortlisted,100.0,1.0,High Fit,Shortlisted
3,90.1,0,13,376,317,Shortlisted,98.0,5.0,High Fit,Shortlisted
8,68.5,2,9,561,161,Shortlisted,96.0,9.0,High Fit,Shortlisted
10,88.2,0,7,620,323,Shortlisted,99.5,2.0,High Fit,Shortlisted
11,94.5,2,16,634,517,Shortlisted,100.0,1.0,High Fit,Shortlisted
13,82.8,1,9,564,342,Shortlisted,100.0,1.0,High Fit,Shortlisted
12,98.6,2,9,890,341,Shortlisted,99.5,2.0,High Fit,Shortlisted
12,86.6,2,17,802,573,Shortlisted,100.0,1.0,High Fit,Shortlisted
9,89.3,2,14,740,399,Shortlisted,100.0,1.0,High Fit,Shortlisted
1,42.0,2,8,362,106,Rejected,2.0,197.0,Low Fit,Rejected
15,91.3,2,14,841,514,Shortlisted,100.0,1.0,High Fit,Shortlisted
4,79.9,2,7,472,223,Shortlisted,91.0,19.0,High Fit,Shortlisted
7,86.9,0,12,632,322,Shortlisted,94.5,12.0,High Fit,Shortlisted
13,70.6,0,14,750,436,Shortlisted,100.0,1.0,High Fit,Shortlisted
4,68.0,2,7,427,263,Rejected,18.0,165.0,Low Fit,Rejected
9,63.3,2,11,844,303,Shortlisted,95.0,11.0,High Fit,Shortlisted
11,69.2,1,11,487,401,Shortlisted,99.5,2.0,High Fit,Shortlisted
7,80.0,2,17,489,526,Shortlisted,100.0,1.0,High Fit,Shortlisted
7,87.0,0,11,664,289,Rejected,35.0,131.0,Low Fit,Rejected
8,82.6,1,7,448,161,Rejected,31.0,139.0,Low Fit,Rejected
9,82.6,2,17,729,464,Shortlisted,100.0,1.0,High Fit,Shortlisted
5,61.5,2,9,546,221,Shortlisted,88.0,25.0,High Fit,Shortlisted
15,89.2,2,17,722,568,Shortlisted,100.0,1.0,High Fit,Shortlisted
11,100.0,2,12,680,442,Shortlisted,100.0,1.0,High Fit,Shortlisted
3,38.0,1,2,586,25,Rejected,1.0,199.0,Low Fit,Rejected
11,61.4,0,12,636,391,Shortlisted,100.0,1.0,High Fit,Shortlisted
10,83.9,2,16,696,480,Shortlisted,100.0,1.0,High Fit,Shortlisted
2,72.1,0,3,309,63,Rejected,0.0,201.0,,Rejected
14,98.5,0,25,602,777,Shortlisted,100.0,1.0,High Fit,Shortlisted
11,87.6,2,17,689,388,Shortlisted,100.0,1.0,High Fit,Shortlisted
15,68.5,2,21,789,745,Shortlisted,100.0,1.0,High Fit,Shortlisted
13,84.0,2,18,777,641,Shortlisted,100.0,1.0,High Fit,Shortlisted
4,42.8,2,11,465,315,Rejected,16.5,168.0,Low Fit,Rejected
5,73.4,0,10,488,261,Shortlisted,91.5,18.0,High Fit,Shortlisted
2,68.3,0,2,453,66,Rejected,0.0,201.0,,Rejected
1,61.4,2,6,591,243,Shortlisted,9.5,182.0,Low Fit,Rejected
15,73.5,2,11,734,494,Shortlisted,99.5,2.0,High Fit,Shortlisted
6,57.2,0,8,602,352,Rejected,18.0,165.0,Low Fit,Rejected
10,53.2,0,14,789,413,Shortlisted,98.5,4.0,High Fit,Shortlisted
4,68.5,2,14,528,301,Shortlisted,98.5,4.0,High Fit,Shortlisted
8,100.0,0,9,472,314,Shortlisted,99.5,2.0,High Fit,Shortlisted
14,87.7,2,5,634,284,Shortlisted,99.5,2.0,High Fit,Shortlisted
2,50.7,1,3,354,127,Rejected,0.0,201.0,,Rejected
13,86.8,0,13,687,377,Shortlisted,100.0,1.0,High Fit,Shortlisted
14,72.0,2,17,690,624,Shortlisted,100.0,1.0,High Fit,Shortlisted
7,54.8,0,17,523,440,Shortlisted,97.0,7.0,High Fit,Shortlisted
5,58.2,0,6,449,232,Rejected,7.0,187.0,Low Fit,Rejected
3,80.5,2,10,375,183,Shortlisted,90.0,21.0,High Fit,Shortlisted
11,88.3,2,11,496,338,Shortlisted,100.0,1.0,High Fit,Shortlisted
11,77.1,0,16,795,477,Shortlisted,100.0,1.0,High Fit,Shortlisted
14,96.7,0,19,628,617,Shortlisted,100.0,1.0,High Fit,Shortlisted
8,99.1,0,11,540,289,Shortlisted,100.0,1.0,High Fit,Shortlisted
4,80.3,2,10,327,331,Shortlisted,93.5,14.0,High Fit,Shortlisted
15,72.2,0,11,785,552,Shortlisted,99.5,2.0,High Fit,Shortlisted
14,57.2,0,12,776,430,Shortlisted,100.0,1.0,High Fit,Shortlisted
9,49.3,0,6,691,290,Shortlisted,76.0,49.0,Medium Fit,Shortlisted
15,100.0,0,16,822,471,Shortlisted,100.0,1.0,High Fit,Shortlisted
5,56.1,0,9,336,259,Shortlisted,69.0,63.0,Medium Fit,Shortlisted
13,95.8,0,15,794,536,Shortlisted,100.0,1.0,High Fit,Shortlisted
14,86.2,3,12,838,459,Shortlisted,100.0,1.0,High Fit,Shortlisted
14,98.8,3,14,835,494,Shortlisted,100.0,1.0,High Fit,Shortlisted
12,92.0,0,12,729,444,Shortlisted,100.0,1.0,High Fit,Shortlisted
8,65.5,2,14,514,354,Shortlisted,99.5,2.0,High Fit,Shortlisted
